City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Alekseyevka,50.63,38.69,56.21,43,6,14.97,RU,1601172662
Antiguo Morelos,22.55,-99.08,86.0,58,0,5.99,MX,1601172662
Hermanus,-34.42,19.23,42.01,94,80,1.01,ZA,1601172663
Kapaa,22.08,-159.32,84.2,66,20,11.41,US,1601172663
Hobart,-42.88,147.33,55.0,51,40,14.99,AU,1601172646
Punta Arenas,-53.15,-70.92,39.2,79,75,23.04,CL,1601172663
Bluff,-46.6,168.33,42.01,87,69,20.0,NZ,1601172664
Prince Rupert,54.32,-130.32,55.4,76,1,4.7,CA,1601172664
Mahébourg,-20.41,57.7,68.0,88,75,5.82,MU,1601172664
Hilo,19.73,-155.09,84.2,62,90,9.17,US,1601172398
Souillac,-20.52,57.52,68.0,88,75,5.82,MU,1601172665
Avarua,-21.21,-159.78,75.2,73,81,6.93,CK,1601172398
Chokurdakh,70.63,147.92,44.33,58,36,12.77,RU,1601172584
Saint Paul Harbor,57.79,-152.41,51.8,71,1,4.7,US,1601172666
Gagnoa,6.13,-5.94,70.75,99,97,3.42,CI,1601172666
Helong,42.54,129.0,68.74,52,0,2.24,CN,1601172667
Shubarshi,48.59,57.19,45.16,57,0,9.26,KZ,1601172667
Busselton,-33.65,115.33,64.99,69,100,7.94,AU,1601172667
East London,-33.02,27.91,54.97,55,3,16.42,ZA,1601172668
Fortuna,40.6,-124.16,64.99,93,1,12.75,US,1601172668
Faanui,-16.48,-151.75,78.93,78,92,12.1,PF,1601172668
Albany,42.6,-73.97,70.0,92,0,5.12,US,1601172668
Nikki,9.94,3.21,71.17,88,99,3.15,BJ,1601172669
Tuatapere,-46.13,167.68,42.01,87,95,20.0,NZ,1601172398
Saint-Philippe,-21.36,55.77,68.0,56,35,6.93,RE,1601172669
Amapá,1.0,-52.0,77.18,69,92,5.73,BR,1601172669
Enid,36.4,-97.88,80.6,61,1,17.22,US,1601172670
Zhigansk,66.77,123.37,45.66,78,87,3.6,RU,1601172670
Mataura,-46.19,168.86,42.01,87,89,20.0,NZ,1601172670
Stornoway,58.21,-6.39,39.0,93,86,2.24,GB,1601172670
Qaanaaq,77.48,-69.36,12.58,76,91,6.04,GL,1601172389
Saint-Augustin,51.23,-58.65,47.97,71,100,6.26,CA,1601172671
Tual,-5.67,132.75,80.24,84,75,15.12,ID,1601172671
Upata,8.01,-62.4,71.55,95,98,3.13,VE,1601172671
Ushuaia,-54.8,-68.3,35.6,92,75,23.04,AR,1601172398
Srednekolymsk,67.45,153.68,51.67,45,3,11.95,RU,1601172672
Carnarvon,-24.87,113.63,71.6,53,24,11.41,AU,1601172387
Sibiti,-3.68,13.35,68.94,90,100,3.6,CG,1601172672
Longyearbyen,78.22,15.64,26.6,79,75,5.82,SJ,1601172633
Vaini,-21.2,-175.2,78.8,69,40,11.41,TO,1601172672
Grand Gaube,-20.01,57.66,68.0,81,30,5.01,MU,1601172673
Jamestown,42.1,-79.24,64.99,77,1,10.29,US,1601172673
Starobesheve,47.75,38.03,61.79,48,90,17.49,UA,1601172673
Upernavik,72.79,-56.15,28.74,91,100,4.97,GL,1601172673
Tasiilaq,65.61,-37.64,34.79,90,100,4.56,GL,1601172674
Sarkand,45.41,79.92,43.39,54,5,1.68,KZ,1601172674
Rikitea,-23.12,-134.97,74.55,83,0,13.29,PF,1601172398
Ilulissat,69.22,-51.1,32.0,97,75,8.05,GL,1601172674
Richards Bay,-28.78,32.04,61.81,76,100,5.97,ZA,1601172674
Cabo San Lucas,22.89,-109.91,82.99,83,20,11.41,MX,1601172675
Port Alfred,-33.59,26.89,52.21,64,9,16.33,ZA,1601172675
New Norfolk,-42.78,147.06,55.0,64,88,4.0,AU,1601172675
Cherskiy,68.75,161.3,43.16,67,0,19.98,RU,1601172622
Kovūr,14.48,79.98,79.83,71,100,5.19,IN,1601172675
Finschhafen,-6.6,147.87,83.08,73,100,8.21,PG,1601172676
Khatanga,71.97,102.5,43.57,91,100,17.29,RU,1601172676
Vestmannaeyjar,63.44,-20.27,49.8,96,100,7.07,IS,1601172676
Darnah,32.77,22.64,74.05,73,11,7.02,LY,1601172676
Salalah,17.02,54.09,78.8,83,75,3.36,OM,1601172677
Ribeira Grande,38.52,-28.7,70.43,88,78,14.41,PT,1601172677
Fairbanks,64.84,-147.72,53.6,58,40,4.7,US,1601172677
Kyra,49.58,111.98,46.4,55,6,11.27,RU,1601172677
Okato,-39.2,173.88,60.01,68,76,11.99,NZ,1601172677
Sibolga,1.74,98.78,79.48,71,88,0.69,ID,1601172678
Yorosso,12.35,-4.78,73.0,84,1,5.03,ML,1601172678
Gillette,44.29,-105.5,53.01,31,1,5.82,US,1601172678
Lukovetskiy,64.3,41.92,55.4,82,20,2.24,RU,1601172678
Bambous Virieux,-20.34,57.76,68.0,88,75,5.82,MU,1601172679
Yangi Marg`ilon,40.43,71.72,55.4,50,73,6.93,UZ,1601172679
Kristiansund,63.11,7.73,48.2,70,0,23.04,NO,1601172679
Praxédis Guerrero,31.37,-106.02,93.2,16,5,11.41,MX,1601172679
Fare,-16.7,-151.02,79.45,78,72,12.55,PF,1601172680
Malé,4.17,73.51,82.4,78,75,5.82,MV,1601172392
Nyūzen,36.93,137.5,71.6,73,75,3.36,JP,1601172680
